neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
"Valencia, Spain",EL PILAR,CIUTAT VELLA,Entire condo,Entire home/apt,1 bath,"[""Exterior security cameras on property"", ""Kitchen"", ""Bidet"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Paid parking off premises"", ""Keypad"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Clothing storage"", ""Microwave"", ""Toaster""]",t,20/06/2025,26/06/2012,16/06/2025,ESFCTU000046025000595907000000000000000000VT-37205-V3,t,t,t,within an hour,01/04/2012,411385.0,2048040,39.47252,-0.38299,4.0,1.0,2.0,2.0,134.0,2.0,242.2,1.0,4.0,1125,1125,2.2,1125.0,7,22,50,119,23.3,41.0,4.0,1.74,4.63,4.77,4.65,4.76,4.89,4.77,4.63,1.0,1.0,0.0,0.0
"Valencia, Spain",EL MERCAT,CIUTAT VELLA,Private room in rental unit,Private room,1 private bath,"[""Ceiling fan"", ""Luggage dropoff allowed"", ""Single level home"", ""Dishes and silverware"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Fast wifi \u2013 281 Mbps"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Coffee"", ""Laundromat nearby"", ""Body soap"", ""Room-darkening shades"", ""Freezer"", ""Coffee maker: espresso machine"", ""Books and reading material"", ""Essentials"", ""Conditioner"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Host greets you"", ""Toaster"", ""Portable fans""]",t,20/06/2025,17/05/2012,12/04/2025,Sin licencia,f,t,t,within an hour,08/04/2012,421405.0,2095681,39.47381,-0.37669,1.0,1.0,1.0,1.0,51.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,0,9,26,184,23.3,35.0,0.0,2.37,4.84,4.84,4.88,4.91,4.92,4.92,4.82,3.0,0.0,0.3,0.0
Desconocido,EL MERCAT,CIUTAT VELLA,Private room in condo,Private room,1 shared bath,"[""Cleaning products"", ""Portable heater"", ""Ceiling fan"", ""Bidet"", ""Luggage dropoff allowed"", ""Shared patio or balcony"", ""Hot water"", ""Refrigerator"", ""Window AC unit"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Coffee"", ""Laundromat nearby"", ""Body soap"", ""Room-darkening shades"", ""Freezer"", ""Essentials"", ""Conditioner"", ""Coffee maker"", ""Iron"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,27/05/2014,06/08/2024,Sin licencia,f,t,t,within an hour,08/04/2012,421406.0,2095681,39.4736,-0.37814,2.0,1.0,1.0,1.0,55.0,5.0,45.0,5.0,5.0,45,45,5.0,45.0,0,11,15,15,19.0,1.0,0.0,0.14,4.79,4.84,4.78,4.89,4.89,4.95,4.63,3.0,0.0,0.3,0.0
"Valencia, Spain",EL MERCAT,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Self check-in"", ""Building staff"", ""Elevator"", ""Hot water"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Washer"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Hair dryer""]",t,20/06/2025,10/06/2012,14/05/2025,VT-37319V,t,f,t,within an hour,27/08/2018,447232.0,211991268,39.47258,-0.37805,4.0,1.0,1.0,2.0,106.0,1.0,365.0,2.0,3.0,10,10,2.1,10.0,7,18,22,268,23.3,4.0,0.0,1.76,4.64,4.69,4.51,4.72,4.7,4.91,4.69,4.7,2.9,0.0,0.0
"Valencia, Valencian Community, Spain",BENICALAP,BENICALAP,Entire condo,Entire home/apt,1 bath,"[""Bathtub"", ""Sound system"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Exercise equipment"", ""Hot water"", ""Refrigerator"", ""Electric stove"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Fire extinguisher"", ""Dishwasher"", ""Shared hot tub"", ""Private gym in building"", ""Outlet covers"", ""Shampoo"", ""Coffee"", ""Paid parking off premises"", ""Pack \u2019n play/Travel crib"", ""25 inch HDTV with standard cable"", ""Outdoor playground"", ""Crib"", ""Self check-in"", ""Building staff"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Cleaning available during stay"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Blender"", ""High chair"", ""Elevator"", ""Iron"", ""Shared backyard \u2013 Not fully fenced"", ""Free resort access"", ""Free street parking"", ""Wifi"", ""Long term stays allowed"", ""Shared indoor pool - available all year, heated"", ""Shared sauna"", ""Central air conditioning"", ""Children\u2019s dinnerware"", ""City skyline view"", ""Microwave"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,28/08/2012,23/05/2025,Sin licencia,f,f,t,within an hour,08/05/2012,467151.0,2319737,39.49225,-0.40044,3.0,1.0,1.0,3.0,94.0,3.0,242.2,3.0,5.0,1125,1125,5.0,1125.0,14,20,35,203,93.0,13.0,1.0,0.6,4.56,4.74,4.26,4.67,4.72,4.72,4.47,1.0,1.0,0.0,0.0
Desconocido,LA CARRASCA,ALGIROS,Private room in rental unit,Private room,1 shared bath,"[""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Washer"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Shampoo"", ""Private entrance"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""Iron"", ""Free street parking"", ""TV"", ""Wifi"", ""Microwave"", ""Host greets you""]",t,20/06/2025,25/08/2015,11/06/2025,Sin licencia,f,f,f,within a few hours,11/05/2012,472858.0,2345188,39.47574,-0.34483,1.0,1.0,1.0,1.0,34.0,2.0,180.0,1.0,2.0,180,180,2.0,180.0,18,37,43,308,53.0,10.0,1.0,0.44,4.83,4.87,4.83,4.89,4.92,4.72,4.81,2.0,0.0,2.0,0.0
"Valencia, Spain",PENYA-ROJA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Bathtub"", ""Cleaning products"", ""Kitchen"", ""Bidet"", ""Single level home"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Stove"", ""Shampoo"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Building staff"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Private patio or balcony"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Microwave""]",t,20/06/2025,17/04/2017,08/06/2025,VT-40428-V,t,f,t,within an hour,13/05/2012,476415.0,2361433,39.46066,-0.35361,5.0,1.0,2.0,3.0,152.0,2.0,242.2,2.0,5.0,1125,1125,3.0,1125.0,9,23,41,120,40.0,8.0,1.0,0.4,4.83,4.93,4.9,4.95,4.98,4.9,4.73,2.0,2.0,0.0,0.0
"Valencia, Spain",SANT PAU,CAMPANAR,Entire condo,Entire home/apt,1 bath,"[""Coffee maker: drip coffee maker, espresso machine, Nespresso"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Hangers"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Outlet covers"", ""Shampoo"", ""Coffee"", ""Outdoor playground"", ""Laundromat nearby"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Freezer"", ""Clothing storage: closet"", ""Books and reading material"", ""Extra pillows and blankets"", ""High chair"", ""Free street parking"", ""Hammock"", ""Crib - available upon request"", ""Mosquito net"", ""Central air conditioning"", ""Otro stainless steel induction stove"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Shared outdoor pool - available seasonally, open specific hours, pool toys"", ""Bed linens"", ""Children\u2019s books and toys"", ""Dishwasher"", ""Board games"", ""Building staff"", ""Cooking basics"", ""Baking sheet"", ""Conditioner"", ""Dining table"", ""Private patio or balcony"", ""Blender"", ""Iron"", ""Free parking on premises"", ""HDTV"", ""Long term stays allowed"", ""Sun loungers"", ""Microwave"", ""First aid kit"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Essentials"", ""Elevator"", ""Smoke alarm"", ""City skyline view"", ""Portable fans"", ""Bathtub"", ""Cleaning products"", ""Garden view"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Vineyard view"", ""Drying rack for clothing"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Cleaning available during stay"", ""Pocket wifi"", ""Central heating"", ""Free resort access"", ""Shower gel"", ""Baby bath"", ""Wifi"", ""Toaster""]",t,20/06/2025,01/06/2012,18/06/2025,VT-39935-V,f,t,t,within an hour,14/05/2012,478752.0,2370939,39.49038,-0.40433,4.0,1.0,1.0,3.0,142.0,3.0,242.2,3.0,3.0,1125,1125,3.0,1125.0,6,14,44,313,23.3,11.0,1.0,1.55,4.95,4.96,4.99,5.0,4.99,4.75,4.9,1.0,1.0,0.0,0.0
"Valencia, Spain",CAMI FONDO,CAMINS AL GRAU,Private room in rental unit,Private room,1.5 baths,"[""Cleaning products"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Dedicated workspace"", ""Exercise equipment"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Ethernet connection"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Safe"", ""Sound system with aux"", ""Laundromat nearby"", ""Crib"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Books and reading material"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Coffee maker"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Elevator"", ""High chair"", ""Stainless steel oven"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""Beach view"", ""Wifi"", ""Long term stays allowed"", ""First aid kit"", ""45 inch HDTV with standard cable"", ""Portable fans""]",t,20/06/2025,04/06/2023,04/06/2023,Sin licencia,f,f,t,No especificado,19/05/2012,509829.0,2411133,39.46548,-0.35487,2.0,1.0,3.0,2.0,104.0,3.0,365.0,1.0,3.0,365,365,2.4,365.0,27,57,87,362,1.0,0.0,0.0,0.04,4.0,5.0,4.7,4.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0
"Valencia, Spain",EXPOSICIO,EL PLA DEL REAL,Private room in rental unit,Private room,1 shared bath,"[""Bathtub"", ""Cleaning products"", ""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Natural Honey body soap"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Coffee"", ""Paid parking off premises"", ""Lockbox"", ""Laundromat nearby"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Clothing storage: closet"", ""Books and reading material"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Blender"", ""Iron"", ""Radiant heating"", ""Exercise equipment: yoga mat"", ""Free street parking"", ""21 inch HDTV with DVD player"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Lock on bedroom door"", ""TresEmm\u00e9 shampoo"", ""Microwave"", ""First aid kit"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,06/08/2012,15/12/2024,Sin licencia,f,t,t,within a few hours,08/06/2010,524523.0,140702,39.47639,-0.36467,1.0,1.0,1.0,1.0,35.0,2.0,60.0,2.0,2.0,60,60,2.0,60.0,5,26,51,51,23.3,22.0,0.0,2.68,4.76,4.86,4.74,4.89,4.87,4.91,4.81,3.0,0.0,0.3,0.0
Desconocido,EL PILAR,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Paid parking off premises"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Paid parking on premises"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Host greets you""]",t,20/06/2025,25/06/2012,28/05/2025,Sin licencia,f,f,t,within a few hours,11/06/2012,530706.0,2605658,39.47367,-0.38179,3.0,1.0,1.0,2.0,69.0,1.0,242.2,1.0,1.0,1125,1125,1.0,1125.0,0,4,9,224,23.3,17.0,1.0,0.89,4.76,4.84,4.79,4.81,4.77,4.81,4.72,2.0,2.0,0.0,0.0
"Valencia, Spain",PENYA-ROJA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Breakfast"", ""Books and reading material"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Clothing storage"", ""Smoking allowed"", ""Microwave"", ""Host greets you"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,07/05/2013,10/03/2025,Sin licencia,f,f,t,within an hour,20/06/2012,547590.0,2691959,39.45842,-0.34611,2.0,1.0,1.0,1.0,171.0,3.2,60.0,5.0,5.0,1125,1125,5.0,1125.0,19,49,79,169,49.0,6.0,0.0,0.33,4.85,4.87,4.85,4.81,4.85,4.81,4.73,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",TRINITAT,LA SAIDIA,Private room in rental unit,Private room,1.5 shared baths,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Stainless steel gas stove"", ""Shared backyard \u2013 Fully fenced"", ""Laundromat nearby"", ""Room-darkening shades"", ""Cooking basics"", ""Clothing storage: closet"", ""Books and reading material"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Iron"", ""Free parking on premises"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Long term stays allowed"", ""Smoking allowed"", ""First aid kit"", ""Host greets you"", ""Toaster""]",t,20/06/2025,03/06/2014,08/06/2025,Sin licencia,f,t,t,within a few hours,25/06/2012,556620.0,2736688,39.48482805,-0.368576343,1.0,1.0,1.0,1.0,38.0,3.0,30.0,3.0,7.0,30,30,3.4,30.0,7,22,52,52,23.3,20.0,1.0,1.47,4.92,4.94,4.84,4.93,4.97,4.9,4.9,2.0,0.0,2.0,0.0
"Valencia, Valencian Community, Spain",EL PILAR,CIUTAT VELLA,Entire loft,Entire home/apt,1 bath,"[""Bathtub"", ""Cleaning products"", ""Sound system"", ""Kitchen"", ""Bidet"", ""Dishes and silverware"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Children\u2019s books and toys"", ""Stove"", ""Toaster"", ""Shampoo"", ""Paid parking off premises"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Self check-in"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Books and reading material"", ""Essentials"", ""Coffee maker"", ""Hot water kettle"", ""Record player"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""High chair"", ""Iron"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Clothing storage"", ""Smoking allowed"", ""Microwave"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,05/09/2013,17/06/2025,VT-46067-V,t,f,t,within an hour,06/07/2012,579273.0,2849128,39.47227,-0.38272,3.0,1.0,1.0,1.0,70.0,2.0,365.0,2.0,2.0,1125,1125,2.0,1125.0,4,10,12,228,23.3,10.1,5.0,3.3,4.64,4.71,4.48,4.87,4.9,4.84,4.64,1.0,1.0,0.0,0.0
"Mislata, Valencia, Spain",SANT PAU,CAMPANAR,Entire condo,Entire home/apt,1 bath,"[""Cleaning products"", ""Garden view"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Single level home"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Exercise equipment"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Mini fridge"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Shampoo"", ""Rice maker"", ""Coffee"", ""Board games"", ""Bikes"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Crib"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Breakfast"", ""Clothing storage: closet"", ""Books and reading material"", ""Park view"", ""Essentials"", ""Conditioner"", ""Mountain view"", ""Dining table"", ""Pocket wifi"", ""Gym"", ""Coffee maker"", ""Extra pillows and blankets"", ""River view"", ""Blender"", ""Elevator"", ""Dermoprotector body soap"", ""Iron"", ""Free parking on premises"", ""Arcade games"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""Es port\u00e1til, si lo necesit\u00e1is, nos lo indic\u00e1is antes de hacer el check in  y os lo dejamos instalado.  oven"", ""Lake view"", ""55 inch HDTV with premium cable, DVD player"", ""Wifi"", ""Long term stays allowed"", ""Central air conditioning"", ""Children\u2019s dinnerware"", ""Folding or convertible high chair - available upon request"", ""Microwave"", ""Lake access"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,19/03/2013,16/06/2025,VT-44610-V,f,t,t,within an hour,15/07/2012,595233.0,2940808,39.47451,-0.4087,3.0,1.0,1.0,1.0,81.0,2.0,100.0,1.0,9.0,100,100,3.6,100.0,7,17,18,236,23.3,10.1,5.0,3.05,4.89,4.93,4.79,4.88,4.92,4.84,4.87,1.0,1.0,0.0,0.0
"Valencia, Spain",LA SEU,CIUTAT VELLA,Entire loft,Entire home/apt,1 bath,"[""Kitchen"", ""Outdoor dining area"", ""Dishes and silverware"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Free dryer \u2013 In unit"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""AC - split type ductless system"", ""High chair"", ""Iron"", ""Hammock"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Noise decibel monitors on property"", ""Host greets you""]",t,20/06/2025,07/07/2013,09/05/2025,V-33840-V,t,t,t,within an hour,04/08/2012,633762.0,3155089,39.4787,-0.37599,4.0,1.0,0.0,2.0,172.0,1.0,365.0,1.0,4.0,999,999,2.3,999.0,3,18,41,298,23.3,19.0,0.0,1.77,4.88,4.89,4.93,4.92,4.92,4.98,4.8,12.0,12.0,0.0,0.0
"Valencia, Spain",RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Paid street parking off premises"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Hot water kettle"", ""Record player"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Iron"", ""Shower gel"", ""Wifi"", ""Microwave"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,31/03/2013,02/06/2025,VT-38102-V,f,t,t,within a few hours,10/08/2012,643644.0,3218281,39.46052,-0.37771,3.0,1.0,1.0,2.0,143.0,2.0,30.0,2.0,2.0,30,30,2.0,30.0,2,6,14,14,78.0,8.0,1.0,0.52,4.9,4.88,4.7,4.87,4.93,4.96,4.74,1.0,1.0,0.0,0.0
"Valencia, Spain",PENYA-ROJA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Window guards"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Dryer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Cleaning available during stay"", ""Books and reading material"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Blender"", ""Elevator"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Hammock"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Sun loungers"", ""Microwave"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,23/03/2016,27/05/2025,Sin licencia,t,t,t,within an hour,29/07/2012,663047.0,3095064,39.46358,-0.35514,4.0,1.0,2.0,2.0,159.0,1.0,365.0,1.9,4.7,999,999,4.0,999.0,0,9,22,192,39.0,7.0,1.0,0.35,4.95,4.92,4.92,4.92,4.97,4.85,4.77,1.0,1.0,0.0,0.0
"Valencia, Spain",EL PILAR,CIUTAT VELLA,Entire loft,Entire home/apt,2 baths,"[""Bathtub"", ""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Babysitter recommendations"", ""Hangers"", ""Hair dryer"", ""Heating"", ""Fire extinguisher"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Shampoo"", ""Private entrance"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Laundromat nearby"", ""Crib"", ""Paid street parking off premises"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Essentials"", ""Coffee maker: pour-over coffee"", ""Conditioner"", ""Dining table"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Blender"", ""High chair"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""TV"", ""Baby bath"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,18/12/2012,15/06/2025,ESFCTU0000460630003273640000000000000CV-VUT0037977-V3,f,t,t,within an hour,29/08/2012,672551.0,3410950,39.47409,-0.38381,3.3,1.0,1.4,2.0,104.0,2.0,10.0,2.0,3.0,10,10,2.1,10.0,12,28,41,281,23.3,30.0,3.0,2.24,4.84,4.82,4.81,4.96,4.91,4.78,4.76,1.0,1.0,0.0,0.0
